vendor_disrupted,molecule,country,shipment_qty,delay_days,severity,lane_vendor_count,has_alternate,action,alternate_vendor,volume_coverage,route
SCMS from RDC,Efavirenz,Côte d'Ivoire,3024.0,14,2,2,True,T1_ALT_VENDOR_SAME_LANE,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0.535,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.) -> Côte d'Ivoire
SCMS from RDC,Lamivudine,Mozambique,374.0,21,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Mozambique
SCMS from RDC,Lamivudine,Ethiopia,29500.0,27,3,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.441,Aurobindo Pharma Limited -> Ethiopia
SCMS from RDC,Abacavir,Tanzania,5730.0,1,1,4,True,T1_ALT_VENDOR_SAME_LANE,GLAXOSMITHKLINE EXPORT LIMITED,1.0,GLAXOSMITHKLINE EXPORT LIMITED -> Tanzania
SCMS from RDC,Nevirapine,Côte d'Ivoire,5581.0,18,2,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Côte d'Ivoire
SCMS from RDC,Nevirapine,Côte d'Ivoire,1547.0,43,3,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Côte d'Ivoire
SCMS from RDC,Nevirapine,Ethiopia,12745.0,5,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Ethiopia
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Nigeria,4836.0,8,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Côte d'Ivoire,35600.0,14,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,0.551,CIPLA LIMITED -> Côte d'Ivoire
SCMS from RDC,Lamivudine,Ethiopia,29500.0,20,2,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.441,Aurobindo Pharma Limited -> Ethiopia
SCMS from RDC,Lamivudine,Ethiopia,30874.0,34,3,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.421,Aurobindo Pharma Limited -> Ethiopia
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Kenya,1.0,3,1,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,1.0,SCMS from RDC -> Kenya
Aurobindo Pharma Limited,Efavirenz,South Africa,54768.0,43,3,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,2744.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.364,Abbott GmbH & Co. KG -> Nigeria
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,19992.0,104,5,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Tanzania,10000.0,30,3,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.31,SCMS from RDC -> Tanzania
Aurobindo Pharma Limited,Lamivudine,South Africa,6395.0,192,5,7,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
Aurobindo Pharma Limited,Efavirenz,South Africa,12000.0,64,4,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
Aurobindo Pharma Limited,Nevirapine,Cameroon,34595.0,8,2,3,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.317,SCMS from RDC -> Cameroon
Aurobindo Pharma Limited,Lamivudine/Tenofovir Disoproxil Fumarate,Rwanda,41286.0,2,1,4,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Rwanda
S. BUYS WHOLESALER,Efavirenz,South Africa,9612.0,25,3,6,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,1859.0,48,4,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.538,Abbott GmbH & Co. KG -> Nigeria
Aurobindo Pharma Limited,Efavirenz,South Africa,1515.0,91,5,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",South Sudan,100.0,5,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,1.0,INVERNESS MEDICAL INNOVATIONS HONG KONG LTD -> South Sudan
CIPLA LIMITED,Nevirapine,South Africa,37870.0,15,2,6,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
Aurobindo Pharma Limited,Nevirapine,Tanzania,28663.0,2,1,3,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.383,SCMS from RDC -> Tanzania
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Zambia,2863.0,7,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.349,Abbott GmbH & Co. KG -> Zambia
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,4987.0,14,2,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.201,Abbott GmbH & Co. KG -> Nigeria
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,47625.0,10,2,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
Aurobindo Pharma Limited,Lamivudine,South Africa,33338.0,27,3,7,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",South Sudan,70.0,5,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,1.0,INVERNESS MEDICAL INNOVATIONS HONG KONG LTD -> South Sudan
Aurobindo Pharma Limited,Efavirenz,South Africa,2247.0,12,2,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
