vendor_disrupted,molecule,country,shipment_qty,delay_days,severity,lane_vendor_count,has_alternate,action,alternate_vendor,volume_coverage,route
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Swaziland,30000.0,5,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Swaziland
SCMS from RDC,Nevirapine,Uganda,13993.0,2,1,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Uganda
SCMS from RDC,Lamivudine/Zidovudine,"Congo, DRC",1500.0,7,1,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,"Congo, DRC",1176.0,4,1,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Lopinavir/Ritonavir,"Congo, DRC",147.0,4,1,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),1.0,"ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Congo, DRC"
SCMS from RDC,Nevirapine,"Congo, DRC",341.0,4,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Zidovudine,"Congo, DRC",1029.0,26,3,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Zidovudine,"Congo, DRC",98.0,28,3,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,"Congo, DRC",20.0,7,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,"MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Congo, DRC"
SCMS from RDC,Nevirapine,Mozambique,2870.0,22,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Mozambique
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Côte d'Ivoire,92352.0,1,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,0.363,HETERO LABS LIMITED -> Côte d'Ivoire
SCMS from RDC,Abacavir,Burundi,350.0,4,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,ASPEN PHARMACARE,1.0,ASPEN PHARMACARE -> Burundi
SCMS from RDC,Lamivudine,Côte d'Ivoire,9900.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Efavirenz,Uganda,45840.0,11,2,6,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.771,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Abacavir,Zambia,2548.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.265,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Nigeria,66637.0,4,1,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.553,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Uganda,7126.0,24,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Uganda
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,South Sudan,549.0,6,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> South Sudan
SCMS from RDC,Zidovudine,Guyana,1927.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Guyana
SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Tanzania,31000.0,18,2,3,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Tanzania
SCMS from RDC,Lamivudine/Zidovudine,Cameroon,6246.0,9,2,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Cameroon
SCMS from RDC,Efavirenz,Burundi,4032.0,17,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Burundi
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Tanzania,58920.0,12,2,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.378,Aurobindo Pharma Limited -> Tanzania
SCMS from RDC,Lamivudine/Zidovudine,"Congo, DRC",10590.0,165,5,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,0.742,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,"Congo, DRC",7404.0,165,5,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,"MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Congo, DRC"
SCMS from RDC,Efavirenz,Tanzania,6823.0,16,2,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Tanzania
SCMS from RDC,Lopinavir/Ritonavir,Zimbabwe,8599.0,2,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.395,Aurobindo Pharma Limited -> Zimbabwe
SCMS from RDC,Efavirenz,Guyana,71.0,4,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Guyana
SCMS from RDC,Lamivudine/Zidovudine,Burundi,6141.0,2,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Burundi
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Burundi,1344.0,2,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Burundi
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,20160.0,9,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Tanzania,6097.0,4,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,1.0,CIPLA LIMITED -> Tanzania
SCMS from RDC,Zidovudine,"Congo, DRC",10916.0,88,4,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.192,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Nevirapine,"Congo, DRC",6032.0,72,4,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Lopinavir/Ritonavir,Côte d'Ivoire,1784.0,11,2,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Lopinavir/Ritonavir,Tanzania,909.0,19,2,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),1.0,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Tanzania
SCMS from RDC,Lamivudine/Stavudine,Haiti,58.0,7,1,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Haiti
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Mozambique,39600.0,10,2,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.846,HETERO LABS LIMITED -> Mozambique
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Mozambique,80071.0,20,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.362,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Mozambique
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,8609.0,10,2,4,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Zimbabwe
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Zimbabwe,115211.0,10,2,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.117,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,90000.0,10,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.322,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Rwanda,29993.0,3,1,4,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Rwanda
SCMS from RDC,Abacavir/Lamivudine,Tanzania,23964.0,19,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,0.414,CIPLA LIMITED -> Tanzania
SCMS from RDC,Abacavir/Lamivudine,Côte d'Ivoire,2200.0,12,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Mozambique,35533.0,20,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,0.552,CIPLA LIMITED -> Mozambique
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Tanzania,46066.0,19,2,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.386,HETERO LABS LIMITED -> Tanzania
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Côte d'Ivoire,40035.0,14,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,0.837,HETERO LABS LIMITED -> Côte d'Ivoire
SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Tanzania,20921.0,2,1,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.404,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Tanzania
SCMS from RDC,Nevirapine,"Congo, DRC",2167.0,48,4,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Nevirapine,Uganda,21764.0,18,2,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Uganda
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Rwanda,2381.0,32,3,4,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Rwanda
SCMS from RDC,Nevirapine,Zambia,1222.0,10,2,3,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Zambia
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Tanzania,116931.0,44,3,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.152,HETERO LABS LIMITED -> Tanzania
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,87667.0,3,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.33,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Efavirenz,Côte d'Ivoire,5840.0,12,2,2,True,T1_ALT_VENDOR_SAME_LANE,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0.277,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.) -> Côte d'Ivoire
SCMS from RDC,Lopinavir/Ritonavir,Tanzania,32294.0,56,4,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0.039,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Tanzania
SCMS from RDC,Abacavir/Lamivudine,Zambia,60000.0,2,1,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,0.165,CIPLA LIMITED -> Zambia
SCMS from RDC,Abacavir/Lamivudine,Zimbabwe,23000.0,16,2,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.25,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Zambia,21529.0,6,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zambia
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,"Congo, DRC",7480.0,8,2,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Tanzania,22002.0,7,1,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.384,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Tanzania
SCMS from RDC,Abacavir,"Congo, DRC",715.0,42,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,ASPEN PHARMACARE,1.0,"ASPEN PHARMACARE -> Congo, DRC"
SCMS from RDC,Lamivudine,"Congo, DRC",980.0,42,3,2,True,T1_ALT_VENDOR_SAME_LANE,MICRO LABS LIMITED,1.0,"MICRO LABS LIMITED -> Congo, DRC"
SCMS from RDC,Lopinavir/Ritonavir,"Congo, DRC",1727.0,42,3,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0.724,"ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Congo, DRC"
SCMS from RDC,Efavirenz,Mozambique,12710.0,68,4,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Mozambique
SCMS from RDC,Nevirapine,Mozambique,2030.0,60,4,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Mozambique
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Mozambique,40070.0,27,3,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.836,HETERO LABS LIMITED -> Mozambique
SCMS from RDC,Lamivudine/Zidovudine,South Sudan,132.0,15,2,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> South Sudan
SCMS from RDC,Abacavir/Lamivudine,Zimbabwe,50847.0,4,1,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.113,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Lopinavir/Ritonavir,"Congo, DRC",1156.0,19,2,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),1.0,"ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Congo, DRC"
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Uganda,42531.0,5,1,3,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.866,HETERO LABS LIMITED -> Uganda
SCMS from RDC,Zidovudine,Côte d'Ivoire,4000.0,12,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.525,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Efavirenz,Rwanda,868.0,10,2,6,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Rwanda
SCMS from RDC,Lamivudine/Zidovudine,Mozambique,17246.0,31,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,0.882,Aurobindo Pharma Limited -> Mozambique
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Zimbabwe,57804.0,10,2,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.232,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Burundi,912.0,1,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Burundi
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Nigeria,350505.0,10,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,0.096,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Nigeria,59014.0,10,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,0.568,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Abacavir/Lamivudine,Rwanda,50867.0,19,2,3,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.113,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Rwanda
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Côte d'Ivoire,145000.0,10,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,0.231,HETERO LABS LIMITED -> Côte d'Ivoire
SCMS from RDC,Lopinavir/Ritonavir,"Congo, DRC",2710.0,22,3,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0.462,"ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Congo, DRC"
SCMS from RDC,Lopinavir/Ritonavir,Côte d'Ivoire,10000.0,6,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.339,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Zambia,148665.0,10,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.195,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zambia
SCMS from RDC,Lamivudine,Nigeria,50.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Nevirapine,Nigeria,36.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Nevirapine,Côte d'Ivoire,1437.0,6,1,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Côte d'Ivoire
SCMS from RDC,Zidovudine,Côte d'Ivoire,9780.0,6,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.215,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Lamivudine,Côte d'Ivoire,8010.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Lamivudine/Zidovudine,Ethiopia,20000.0,2,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,0.76,Aurobindo Pharma Limited -> Ethiopia
SCMS from RDC,Lamivudine/Zidovudine+Efavirenz,Nigeria,854.0,48,4,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Efavirenz,Haiti,39312.0,13,2,8,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.899,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Stavudine,Haiti,336.0,13,2,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Didanosine,Haiti,192.0,7,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Lamivudine/Stavudine,Zimbabwe,5900.0,4,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Zimbabwe
SCMS from RDC,Lamivudine,Zambia,32920.0,4,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.395,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Côte d'Ivoire,8640.0,26,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Nevirapine,Côte d'Ivoire,233.0,22,3,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Côte d'Ivoire
SCMS from RDC,Lopinavir/Ritonavir,Ethiopia,3900.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.87,Aurobindo Pharma Limited -> Ethiopia
SCMS from RDC,Tenofovir Disoproxil Fumarate,Côte d'Ivoire,4480.0,22,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Zidovudine,Côte d'Ivoire,12240.0,6,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.172,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Zidovudine,Côte d'Ivoire,13362.0,22,3,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.157,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Efavirenz,Uganda,52231.0,6,1,6,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.677,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Lamivudine/Zidovudine,Zambia,25000.0,5,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.608,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Côte d'Ivoire,45000.0,51,4,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,0.745,HETERO LABS LIMITED -> Côte d'Ivoire
SCMS from RDC,Lamivudine/Stavudine,Zimbabwe,3453.0,46,4,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Zimbabwe
SCMS from RDC,Didanosine,Ethiopia,6872.0,8,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.088,Aurobindo Pharma Limited -> Ethiopia
SCMS from RDC,Didanosine,Ethiopia,1237.0,8,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.489,Aurobindo Pharma Limited -> Ethiopia
SCMS from RDC,Lamivudine/Zidovudine,Zimbabwe,1988.0,13,2,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Zimbabwe,19512.0,15,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,1.0,CIPLA LIMITED -> Zimbabwe
SCMS from RDC,Lamivudine/Zidovudine,Nigeria,32000.0,14,2,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.539,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Lamivudine/Zidovudine,Nigeria,12609.0,21,2,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Efavirenz,Nigeria,1220.0,21,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Lamivudine/Zidovudine,Ghana,29998.0,11,2,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.369,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Ghana
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Mozambique,125202.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.268,HETERO LABS LIMITED -> Mozambique
SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Nigeria,62611.0,6,1,2,True,T1_ALT_VENDOR_SAME_LANE,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0.085,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.) -> Nigeria
SCMS from RDC,Efavirenz,Haiti,49425.0,2,1,8,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.715,Aurobindo Pharma Limited -> Haiti
