Method,Precision,Recall,F1,P_adj,P_std,R_std,F1_std,P_adj_std
Z-score only  (2+ signals),0.10649897391128674,0.14496178376104593,0.1221131974090206,0.5345254213155284,0.02095560413237651,0.016939854532779366,0.017583463470169057,0.04941905296134641
Isolation Forest alone,0.22887747249335305,0.6756161298955344,0.3403962617491354,0.7600398426789482,0.043512806732235745,0.02767120006790652,0.05079270036678467,0.07617892773887988
Ensemble (2+ incl. IF),0.18176706361649037,0.5792613042907236,0.2755019078042707,0.7044616165063563,0.023844823844713814,0.01940224304566612,0.025212959276985435,0.047849568407474945
IF budget-matched (tuned),0.22887747249335305,0.6756161298955344,0.3403962617491354,0.7600398426789482,0.043512806732235745,0.02767120006790652,0.05079270036678467,0.07617892773887988
IF-budget OR 2+ z-signals,0.19683115518065297,0.6893540588204584,0.30500127512116965,0.7191668429704468,0.03600199859370295,0.02620227683543606,0.04493642794307595,0.06386379458515662
Calibrated ensemble (logistic),0.2852177024895596,0.602967871544741,0.38639009068731284,0.8585071132590109,0.05504074719031018,0.06275876164122908,0.06267458998578491,0.04641313788707868
