country,window_end,n_window,late_window,late_rate,baseline_rate,p_value,alert,z_delay
Rwanda,2015-01,18,1,0.056,0.079,7.73e-01,0,-14.5
Rwanda,2015-02,25,3,0.12,0.0809,3.29e-01,0,-7.72
Rwanda,2015-03,30,4,0.133,0.0796,2.13e-01,0,-5.64
Rwanda,2015-04,25,5,0.2,0.0779,4.10e-02,0,-1.92
Rwanda,2015-05,22,4,0.182,0.0833,1.06e-01,0,-3.59
Rwanda,2015-06,14,3,0.214,0.0835,1.06e-01,0,-1.93
Rwanda,2015-07,11,2,0.182,0.0854,2.41e-01,0,-3.31
Rwanda,2015-08,14,1,0.071,0.0885,7.27e-01,0,-6.79
Haiti,2008-04,43,0,0.0,0.0541,1.00e+00,0,-0.89
Haiti,2008-05,40,0,0.0,0.0426,1.00e+00,0,0.0
Haiti,2008-06,37,0,0.0,0.0323,1.00e+00,0,0.0
Haiti,2008-07,22,0,0.0,0.025,1.00e+00,0,0.0
Haiti,2008-08,25,0,0.0,0.023,1.00e+00,0,0.0
Haiti,2008-09,16,0,0.0,0.0202,1.00e+00,0,0.0
Haiti,2008-10,23,0,0.0,0.0196,1.00e+00,0,-1.79
Haiti,2008-11,25,0,0.0,0.0179,1.00e+00,0,-1.65
Haiti,2008-12,24,0,0.0,0.0174,1.00e+00,0,-1.71
Haiti,2009-01,15,0,0.0,0.016,1.00e+00,0,0.0
Haiti,2009-03,12,0,0.0,0.0144,1.00e+00,0,0.0
Haiti,2009-04,22,0,0.0,0.0143,1.00e+00,0,0.0
Haiti,2009-05,31,0,0.0,0.0143,1.00e+00,0,0.0
Haiti,2009-06,27,0,0.0,0.0132,1.00e+00,0,0.0
Haiti,2009-07,26,0,0.0,0.0123,1.00e+00,0,0.0
Haiti,2009-08,19,0,0.0,0.0117,1.00e+00,0,0.0
Haiti,2009-09,13,0,0.0,0.0112,1.00e+00,0,0.0
Haiti,2009-10,14,0,0.0,0.0106,1.00e+00,0,-4.91
Haiti,2009-11,21,0,0.0,0.0105,1.00e+00,0,-3.82
Haiti,2009-12,35,0,0.0,0.0105,1.00e+00,0,-3.89
Haiti,2010-01,29,2,0.069,0.0099,3.33e-02,0,-2.05
Haiti,2010-02,24,2,0.083,0.0095,2.16e-02,0,-2.5
Haiti,2010-03,31,3,0.097,0.0088,2.59e-03,0,-4.26
Haiti,2010-04,27,1,0.037,0.0173,3.76e-01,0,-5.2
Haiti,2010-05,26,2,0.077,0.017,7.19e-02,0,-4.88
Haiti,2010-06,22,8,0.364,0.0195,5.14e-09,1,-2.12
Haiti,2010-07,22,8,0.364,0.0194,4.99e-09,1,-2.45
Haiti,2010-08,27,12,0.444,0.023,2.75e-13,1,-0.45
Haiti,2010-09,10,5,0.5,0.0466,4.54e-05,1,3.57
Haiti,2010-10,18,13,0.722,0.0464,3.20e-14,1,4.27
Haiti,2010-11,11,8,0.727,0.0625,3.24e-08,1,3.07
Haiti,2010-12,16,11,0.688,0.0623,1.78e-10,1,4.51
Haiti,2011-01,15,11,0.733,0.0872,2.18e-09,1,8.32
Haiti,2011-02,20,11,0.55,0.087,1.71e-07,1,3.41
Haiti,2011-03,16,8,0.5,0.0951,4.25e-05,1,1.85
Haiti,2011-04,16,2,0.125,0.1182,5.80e-01,0,-0.51
Haiti,2011-05,13,3,0.231,0.116,1.85e-01,0,4.36
Haiti,2011-06,18,4,0.222,0.1153,1.45e-01,0,0.52
Haiti,2011-07,17,5,0.294,0.1185,4.26e-02,0,-2.34
Haiti,2011-08,21,9,0.429,0.1205,4.01e-04,1,1.19
Haiti,2011-09,14,8,0.571,0.1209,6.97e-05,1,5.16
Haiti,2011-10,11,5,0.455,0.1272,7.89e-03,0,0.92
Haiti,2012-01,11,2,0.182,0.1373,4.58e-01,0,-2.21
Haiti,2012-02,13,0,0.0,0.1421,1.00e+00,0,-7.47
Haiti,2012-03,22,5,0.227,0.1413,1.91e-01,0,-3.22
Haiti,2012-04,18,5,0.278,0.1386,9.26e-02,0,-2.4
Haiti,2012-05,15,5,0.333,0.1371,4.42e-02,0,1.26
Haiti,2012-06,10,0,0.0,0.1462,1.00e+00,0,-21.72
Haiti,2012-07,10,1,0.1,0.1451,7.91e-01,0,-1.08
Haiti,2012-08,15,1,0.067,0.1447,9.04e-01,0,-0.72
Haiti,2012-09,11,1,0.091,0.1425,8.16e-01,0,-0.61
Haiti,2012-10,18,0,0.0,0.1439,1.00e+00,0,-8.92
Haiti,2012-11,17,0,0.0,0.1418,1.00e+00,0,-3.61
Haiti,2012-12,23,0,0.0,0.1411,1.00e+00,0,-30.38
Haiti,2013-01,17,0,0.0,0.1377,1.00e+00,0,-14.36
Haiti,2013-02,12,0,0.0,0.136,1.00e+00,0,-226.63
Haiti,2013-03,28,0,0.0,0.1335,1.00e+00,0,-20.81
Haiti,2013-04,30,0,0.0,0.1323,1.00e+00,0,-187.91
Haiti,2013-05,32,0,0.0,0.1323,1.00e+00,0,-176.17
Haiti,2013-06,14,0,0.0,0.1253,1.00e+00,0,-7.08
Haiti,2013-07,13,0,0.0,0.1236,1.00e+00,0,0.0
Haiti,2013-08,26,0,0.0,0.1231,1.00e+00,0,0.0
Haiti,2013-09,29,0,0.0,0.1215,1.00e+00,0,0.0
Haiti,2013-10,24,0,0.0,0.1203,1.00e+00,0,0.0
Haiti,2013-11,10,0,0.0,0.1166,1.00e+00,0,0.0
Haiti,2014-02,12,2,0.167,0.1142,4.06e-01,0,0.56
Haiti,2014-03,17,1,0.059,0.1155,8.76e-01,0,-4.01
Haiti,2014-04,15,1,0.067,0.1146,8.39e-01,0,-4.54
Haiti,2014-05,22,2,0.091,0.1155,7.40e-01,0,-2.67
Haiti,2014-06,20,3,0.15,0.1137,4.01e-01,0,1.92
Haiti,2014-07,23,3,0.13,0.1132,4.92e-01,0,1.67
Haiti,2014-08,18,1,0.056,0.1144,8.88e-01,0,1.35
Haiti,2014-09,18,0,0.0,0.115,1.00e+00,0,0.0
Haiti,2014-10,32,0,0.0,0.114,1.00e+00,0,0.0
Haiti,2014-11,31,0,0.0,0.1125,1.00e+00,0,0.0
Haiti,2014-12,27,0,0.0,0.1113,1.00e+00,0,0.0
Haiti,2015-01,14,0,0.0,0.1076,1.00e+00,0,0.0
Haiti,2015-02,16,1,0.062,0.1065,8.35e-01,0,0.59
Haiti,2015-03,29,1,0.034,0.1062,9.61e-01,0,0.3
Haiti,2015-04,34,1,0.029,0.1051,9.77e-01,0,0.0
Haiti,2015-05,37,0,0.0,0.1054,1.00e+00,0,-0.26
Haiti,2015-06,25,0,0.0,0.1028,1.00e+00,0,-0.35
Haiti,2015-07,26,0,0.0,0.101,1.00e+00,0,0.0
Haiti,2015-08,20,0,0.0,0.0992,1.00e+00,0,0.0
Haiti,2015-09,19,0,0.0,0.0987,1.00e+00,0,0.0
Zimbabwe,2008-01,15,0,0.0,0.0312,1.00e+00,0,0.0
Zimbabwe,2008-02,12,0,0.0,0.0263,1.00e+00,0,0.0
Zimbabwe,2008-03,22,0,0.0,0.0256,1.00e+00,0,0.0
Zimbabwe,2008-04,18,0,0.0,0.0213,1.00e+00,0,0.0
Zimbabwe,2008-05,15,0,0.0,0.02,1.00e+00,0,0.0
Zimbabwe,2008-06,14,0,0.0,0.0164,1.00e+00,0,0.0
Zimbabwe,2008-07,18,0,0.0,0.0154,1.00e+00,0,0.0
Zimbabwe,2008-08,18,0,0.0,0.0154,1.00e+00,0,0.0
Zimbabwe,2008-09,10,0,0.0,0.0133,1.00e+00,0,0.0
Zimbabwe,2008-11,10,0,0.0,0.012,1.00e+00,0,-1.82
Zimbabwe,2010-03,13,0,0.0,0.0084,1.00e+00,0,-12.76
Zimbabwe,2010-04,11,0,0.0,0.0083,1.00e+00,0,-15.08
Zimbabwe,2010-05,22,4,0.182,0.0083,3.03e-05,1,-8.77
Zimbabwe,2010-06,11,4,0.364,0.0076,1.04e-06,1,-2.45
Zimbabwe,2010-07,17,4,0.235,0.0076,7.24e-06,1,-3.49
Zimbabwe,2011-03,10,0,0.0,0.0577,1.00e+00,0,-8.23
Zimbabwe,2011-04,10,0,0.0,0.0577,1.00e+00,0,-8.23
Zimbabwe,2011-05,21,10,0.476,0.0577,7.98e-08,1,10.21
Zimbabwe,2011-06,23,22,0.957,0.0542,3.09e-27,1,20.41
Zimbabwe,2011-07,24,22,0.917,0.0542,3.51e-26,1,19.56
Zimbabwe,2011-08,21,12,0.571,0.1073,2.70e-07,1,3.92
Zimbabwe,2011-09,19,0,0.0,0.164,1.00e+00,0,-6.11
Zimbabwe,2011-10,31,4,0.129,0.1632,7.68e-01,0,-3.68
Zimbabwe,2011-11,29,6,0.207,0.1566,2.97e-01,0,-0.91
Zimbabwe,2011-12,25,9,0.36,0.149,7.64e-03,0,-0.57
Zimbabwe,2012-01,12,5,0.417,0.1584,2.97e-02,0,-1.35
Zimbabwe,2012-02,10,4,0.4,0.163,6.50e-02,0,-2.9
Zimbabwe,2012-04,16,1,0.062,0.1717,9.51e-01,0,-2.19
Zimbabwe,2012-05,27,5,0.185,0.173,5.12e-01,0,-3.77
Zimbabwe,2012-06,40,5,0.125,0.1715,8.39e-01,0,-23.91
Zimbabwe,2012-07,36,5,0.139,0.1647,7.29e-01,0,-31.63
Zimbabwe,2012-08,21,0,0.0,0.1742,1.00e+00,0,-50.3
Zimbabwe,2012-09,18,1,0.056,0.1649,9.61e-01,0,-35.94
Zimbabwe,2012-10,20,1,0.05,0.1614,9.70e-01,0,-24.89
Zimbabwe,2012-11,28,2,0.071,0.1614,9.54e-01,0,-17.83
Zimbabwe,2012-12,30,1,0.033,0.1582,9.94e-01,0,-3.35
Zimbabwe,2013-01,23,1,0.043,0.1541,9.79e-01,0,-2.73
Zimbabwe,2013-02,24,0,0.0,0.1534,1.00e+00,0,-3.04
Zimbabwe,2013-03,35,1,0.029,0.1468,9.96e-01,0,-9.94
Zimbabwe,2013-04,53,4,0.075,0.1463,9.62e-01,0,-10.21
Zimbabwe,2013-05,44,4,0.091,0.1424,8.90e-01,0,-12.03
Zimbabwe,2013-06,20,3,0.15,0.1354,5.21e-01,0,-10.39
Zimbabwe,2013-09,12,9,0.75,0.1361,2.39e-06,1,2.47
Zimbabwe,2013-10,16,12,0.75,0.1358,4.18e-08,1,1.35
Zimbabwe,2013-11,14,5,0.357,0.1513,4.83e-02,0,-1.78
Zimbabwe,2013-12,13,3,0.231,0.1548,3.26e-01,0,-1.92
Zimbabwe,2014-01,14,1,0.071,0.1604,9.14e-01,0,-4.05
Zimbabwe,2014-02,16,5,0.312,0.1584,9.55e-02,0,-3.75
Zimbabwe,2014-03,19,5,0.263,0.1572,1.67e-01,0,-8.56
Zimbabwe,2014-04,14,4,0.286,0.1574,1.67e-01,0,-8.77
Zimbabwe,2014-05,11,1,0.091,0.1643,8.61e-01,0,-104.16
Zimbabwe,2014-06,32,2,0.062,0.162,9.75e-01,0,-113.81
Zimbabwe,2014-07,39,2,0.051,0.1616,9.91e-01,0,-192.6
Zimbabwe,2014-08,36,1,0.028,0.1624,9.98e-01,0,-100.76
Zimbabwe,2014-09,22,2,0.091,0.155,8.76e-01,0,-0.64
Zimbabwe,2014-10,22,2,0.091,0.1524,8.69e-01,0,-36.91
Zimbabwe,2014-11,26,3,0.115,0.152,7.79e-01,0,-33.45
Zimbabwe,2014-12,13,1,0.077,0.1521,8.83e-01,0,-71.39
Zimbabwe,2015-02,13,1,0.077,0.1501,8.79e-01,0,-12.61
Zimbabwe,2015-03,24,4,0.167,0.1501,4.96e-01,0,-13.87
Zimbabwe,2015-04,28,4,0.143,0.1492,6.18e-01,0,-6.41
Zimbabwe,2015-05,24,3,0.125,0.1482,7.12e-01,0,-3.26
Zimbabwe,2015-06,13,0,0.0,0.1509,1.00e+00,0,-1.18
Zimbabwe,2015-07,11,0,0.0,0.1489,1.00e+00,0,-2.6
Zimbabwe,2015-08,10,0,0.0,0.1472,1.00e+00,0,-11.67
Ethiopia,2008-03,22,3,0.136,0.0938,3.41e-01,0,2.48
Ethiopia,2008-04,20,1,0.05,0.1316,9.40e-01,0,1.15
Ethiopia,2008-05,15,1,0.067,0.1136,8.36e-01,0,1.53
Ethiopia,2008-10,11,0,0.0,0.1,1.00e+00,0,-1.66
Ethiopia,2008-11,15,0,0.0,0.0984,1.00e+00,0,-4.23
Ethiopia,2008-12,19,0,0.0,0.0952,1.00e+00,0,-3.55
Ethiopia,2009-01,21,0,0.0,0.0845,1.00e+00,0,-3.05
Ethiopia,2009-02,24,0,0.0,0.0789,1.00e+00,0,-0.79
Ethiopia,2009-03,29,0,0.0,0.0732,1.00e+00,0,-0.51
Ethiopia,2009-04,19,0,0.0,0.0652,1.00e+00,0,0.0
Ethiopia,2009-05,11,0,0.0,0.06,1.00e+00,0,0.0
Ethiopia,2009-12,11,0,0.0,0.0536,1.00e+00,0,-2.7
Ethiopia,2010-01,11,0,0.0,0.0517,1.00e+00,0,-5.4
Ethiopia,2010-02,13,0,0.0,0.0513,1.00e+00,0,-4.57
Ethiopia,2010-03,10,1,0.1,0.0488,3.94e-01,0,-2.83
Ethiopia,2010-07,13,0,0.0,0.0526,1.00e+00,0,-20.7
Ethiopia,2010-08,11,0,0.0,0.0511,1.00e+00,0,-22.99
Ethiopia,2011-03,10,2,0.2,0.0581,1.11e-01,0,-4.65
Ethiopia,2012-04,13,0,0.0,0.073,1.00e+00,0,0.0
Ethiopia,2012-05,16,0,0.0,0.0726,1.00e+00,0,0.0
Ethiopia,2012-06,11,0,0.0,0.0703,1.00e+00,0,0.0
Ethiopia,2012-09,10,0,0.0,0.0663,1.00e+00,0,0.0
South Africa,2008-04,28,1,0.036,0.027,5.36e-01,0,
South Africa,2008-05,49,1,0.02,0.025,7.11e-01,0,
South Africa,2008-06,52,1,0.019,0.025,7.32e-01,0,
South Africa,2008-07,37,2,0.054,0.0308,3.16e-01,0,
South Africa,2008-08,29,2,0.069,0.0225,1.38e-01,0,
South Africa,2008-09,26,2,0.077,0.0217,1.09e-01,0,0.54
South Africa,2008-10,30,0,0.0,0.0392,1.00e+00,0,-8.23
South Africa,2008-11,43,0,0.0,0.0339,1.00e+00,0,-12.33
South Africa,2008-12,73,0,0.0,0.0339,1.00e+00,0,-11.31
South Africa,2009-01,90,0,0.0,0.0303,1.00e+00,0,-8.59
South Africa,2009-02,67,0,0.0,0.0248,1.00e+00,0,-2.57
South Africa,2009-03,38,0,0.0,0.0209,1.00e+00,0,-0.99
South Africa,2009-04,57,0,0.0,0.018,1.00e+00,0,0.1
South Africa,2009-05,58,0,0.0,0.0175,1.00e+00,0,0.32
South Africa,2009-06,67,0,0.0,0.0175,1.00e+00,0,0.19
South Africa,2009-07,32,1,0.031,0.0143,3.70e-01,0,0.28
South Africa,2009-08,54,4,0.074,0.014,6.94e-03,0,0.35
South Africa,2009-09,54,5,0.093,0.0135,8.22e-04,1,0.32
South Africa,2009-10,83,7,0.084,0.0161,3.97e-04,1,0.68
South Africa,2009-11,56,4,0.071,0.0235,4.28e-02,0,0.75
South Africa,2009-12,66,3,0.045,0.0257,2.41e-01,0,0.71
South Africa,2010-01,25,0,0.0,0.0305,1.00e+00,0,0.54
South Africa,2010-02,24,0,0.0,0.0303,1.00e+00,0,0.57
South Africa,2010-05,29,0,0.0,0.0286,1.00e+00,0,0.67
South Africa,2010-06,54,6,0.111,0.0286,4.34e-03,0,0.7
South Africa,2010-07,59,9,0.153,0.0282,3.92e-05,1,0.75
South Africa,2010-08,47,10,0.213,0.0267,3.89e-07,1,0.79
South Africa,2010-09,32,10,0.312,0.038,1.86e-07,1,1.1
South Africa,2010-10,34,15,0.441,0.0433,2.98e-12,1,1.7
South Africa,2010-11,32,19,0.594,0.0444,3.89e-18,1,2.99
South Africa,2010-12,50,21,0.42,0.0553,5.61e-14,1,2.46
South Africa,2011-01,52,18,0.346,0.0694,5.90e-09,1,2.07
South Africa,2011-02,63,18,0.286,0.0777,8.93e-07,1,1.52
South Africa,2011-03,61,23,0.377,0.0881,7.26e-10,1,1.63
South Africa,2011-04,71,20,0.282,0.0946,6.19e-06,1,0.86
South Africa,2011-05,64,23,0.359,0.0998,2.33e-08,1,0.82
South Africa,2011-06,50,17,0.34,0.1167,2.96e-05,1,0.44
South Africa,2011-07,29,15,0.517,0.1153,1.32e-07,1,1.26
South Africa,2011-08,20,7,0.35,0.1252,8.44e-03,0,0.61
South Africa,2011-09,42,6,0.143,0.1334,4.96e-01,0,0.4
South Africa,2011-10,53,10,0.189,0.1326,1.58e-01,0,0.38
South Africa,2011-11,70,15,0.214,0.1319,3.76e-02,0,0.6
South Africa,2011-12,48,11,0.229,0.134,4.96e-02,0,0.62
South Africa,2012-01,55,16,0.291,0.1367,2.21e-03,0,0.82
South Africa,2012-02,34,11,0.324,0.1396,5.03e-03,0,0.64
South Africa,2012-03,22,9,0.409,0.14,1.82e-03,0,0.83
South Africa,2013-04,57,1,0.018,0.1476,1.00e+00,0,0.0
South Africa,2013-05,57,1,0.018,0.1476,1.00e+00,0,0.0
South Africa,2013-06,57,1,0.018,0.1476,1.00e+00,0,0.0
South Africa,2014-01,27,0,0.0,0.1388,1.00e+00,0,0.0
South Africa,2014-02,86,0,0.0,0.1388,1.00e+00,0,0.0
South Africa,2014-03,85,0,0.0,0.1386,1.00e+00,0,0.0
South Africa,2014-04,59,0,0.0,0.1344,1.00e+00,0,0.0
South Africa,2014-06,15,0,0.0,0.1258,1.00e+00,0,0.0
South Africa,2014-07,24,0,0.0,0.1258,1.00e+00,0,0.0
South Africa,2014-08,188,0,0.0,0.1258,1.00e+00,0,0.0
South Africa,2014-09,173,0,0.0,0.1238,1.00e+00,0,0.0
South Africa,2014-10,181,0,0.0,0.1226,1.00e+00,0,0.0
South Africa,2014-11,53,0,0.0,0.1045,1.00e+00,0,0.0
South Africa,2014-12,70,0,0.0,0.1045,1.00e+00,0,0.0
South Africa,2015-01,73,0,0.0,0.1029,1.00e+00,0,0.0
South Africa,2015-02,70,0,0.0,0.0997,1.00e+00,0,0.0
South Africa,2015-03,70,0,0.0,0.0983,1.00e+00,0,0.0
South Africa,2015-04,63,0,0.0,0.0967,1.00e+00,0,0.0
South Africa,2015-05,71,0,0.0,0.0941,1.00e+00,0,0.0
South Africa,2015-06,66,0,0.0,0.0928,1.00e+00,0,0.0
South Africa,2015-07,95,0,0.0,0.0918,1.00e+00,0,0.0
South Africa,2015-08,104,0,0.0,0.089,1.00e+00,0,0.0
Guyana,2010-05,13,1,0.077,0.0448,4.49e-01,0,-6.43
Guyana,2010-06,12,1,0.083,0.0435,4.13e-01,0,-6.97
Guyana,2010-07,10,0,0.0,0.0556,1.00e+00,0,-9.24
Guyana,2010-09,10,0,0.0,0.0494,1.00e+00,0,-32.17
Guyana,2010-10,12,0,0.0,0.0488,1.00e+00,0,-26.81
Guyana,2010-11,14,0,0.0,0.0482,1.00e+00,0,-23.46
Guyana,2011-10,13,0,0.0,0.0364,1.00e+00,0,-26.25
Guyana,2011-11,12,0,0.0,0.0354,1.00e+00,0,-28.44
Guyana,2012-10,10,0,0.0,0.029,1.00e+00,0,-13.62
Guyana,2013-03,10,1,0.1,0.0265,2.35e-01,0,-17.13
Guyana,2013-04,15,4,0.267,0.0263,5.19e-04,1,-11.29
Guyana,2013-05,16,4,0.25,0.0263,6.77e-04,1,-10.58
Guyana,2013-11,11,5,0.455,0.046,7.51e-05,1,-6.38
Guyana,2013-12,19,5,0.263,0.046,1.39e-03,0,-10.9
Guyana,2014-01,12,0,0.0,0.0718,1.00e+00,0,-18.38
Guyana,2014-04,21,8,0.381,0.0674,3.88e-05,1,-21.68
Guyana,2014-05,21,8,0.381,0.0674,3.88e-05,1,-21.68
Guyana,2014-06,23,9,0.391,0.067,9.36e-06,1,-21.23
Guyana,2014-08,12,2,0.167,0.0981,3.32e-01,0,-21.81
Guyana,2014-09,11,1,0.091,0.1014,6.91e-01,0,-20.79
Namibia,2009-07,12,0,0.0,0.0263,1.00e+00,0,0.0
Namibia,2009-08,14,0,0.0,0.0244,1.00e+00,0,0.0
Namibia,2009-09,12,0,0.0,0.0213,1.00e+00,0,0.0
Namibia,2009-10,10,0,0.0,0.02,1.00e+00,0,0.0
Namibia,2014-10,11,1,0.091,0.0127,1.31e-01,0,-3.68
Namibia,2014-11,18,1,0.056,0.0127,2.05e-01,0,-2.25
Mozambique,2008-01,11,0,0.0,0.0133,1.00e+00,0,0.0
Mozambique,2008-04,19,0,0.0,0.0116,1.00e+00,0,-0.96
Mozambique,2008-05,19,1,0.053,0.0112,1.93e-01,0,-0.21
Mozambique,2008-06,25,1,0.04,0.0109,2.39e-01,0,-0.16
Mozambique,2008-07,15,1,0.067,0.0095,1.34e-01,0,0.72
Mozambique,2008-08,16,0,0.0,0.0185,1.00e+00,0,-0.21
Mozambique,2008-09,15,0,0.0,0.0171,1.00e+00,0,-0.22
Mozambique,2008-10,16,0,0.0,0.0167,1.00e+00,0,0.0
Mozambique,2008-11,21,0,0.0,0.0161,1.00e+00,0,0.0
Mozambique,2008-12,15,0,0.0,0.0152,1.00e+00,0,0.0
Mozambique,2009-01,12,0,0.0,0.0147,1.00e+00,0,0.0
Mozambique,2009-02,15,0,0.0,0.0138,1.00e+00,0,-0.22
Mozambique,2009-03,15,0,0.0,0.0136,1.00e+00,0,-0.22
Mozambique,2009-04,16,0,0.0,0.0135,1.00e+00,0,-0.21
Mozambique,2009-06,17,0,0.0,0.0123,1.00e+00,0,0.0
Mozambique,2009-07,15,0,0.0,0.0122,1.00e+00,0,0.0
Mozambique,2009-08,17,0,0.0,0.0118,1.00e+00,0,0.0
Mozambique,2009-09,16,1,0.062,0.0112,1.65e-01,0,0.89
Mozambique,2009-10,23,1,0.043,0.0112,2.28e-01,0,-0.29
Mozambique,2009-11,21,1,0.048,0.0108,2.03e-01,0,-0.74
Mozambique,2009-12,16,0,0.0,0.0154,1.00e+00,0,-1.85
Mozambique,2010-01,13,2,0.154,0.0149,1.54e-02,0,-2.08
Mozambique,2010-02,11,2,0.182,0.0145,1.06e-02,0,-1.66
Mozambique,2010-03,10,2,0.2,0.0142,8.43e-03,0,-2.29
Mozambique,2010-04,15,0,0.0,0.0233,1.00e+00,0,-2.02
Mozambique,2010-05,12,0,0.0,0.0229,1.00e+00,0,-2.53
Mozambique,2010-06,17,0,0.0,0.0226,1.00e+00,0,-4.25
Mozambique,2010-08,12,0,0.0,0.0217,1.00e+00,0,-7.7
Mozambique,2011-05,11,1,0.091,0.0512,4.39e-01,0,-4.78
Mozambique,2011-09,18,10,0.556,0.0564,9.35e-09,1,1.76
Mozambique,2011-10,19,9,0.474,0.0597,5.13e-07,1,1.21
Mozambique,2011-11,25,9,0.36,0.0588,7.24e-06,1,1.11
Mozambique,2011-12,21,2,0.095,0.088,5.63e-01,0,0.45
Mozambique,2012-01,22,2,0.091,0.0871,5.83e-01,0,0.25
Mozambique,2012-02,15,2,0.133,0.0842,3.64e-01,0,0.27
Mozambique,2012-03,15,4,0.267,0.0885,3.79e-02,0,-1.8
Mozambique,2012-04,11,4,0.364,0.0874,1.16e-02,0,-2.08
Mozambique,2012-05,22,13,0.591,0.0865,3.58e-09,1,2.18
Mozambique,2012-06,20,9,0.45,0.0969,4.65e-05,1,1.45
Mozambique,2012-07,22,9,0.409,0.0969,1.15e-04,1,0.46
Mozambique,2012-08,13,1,0.077,0.1198,8.10e-01,0,-35.36
Mozambique,2012-09,10,1,0.1,0.1176,7.14e-01,0,-15.22
Mozambique,2012-10,18,1,0.056,0.117,8.93e-01,0,-11.68
Mozambique,2012-11,15,0,0.0,0.1182,1.00e+00,0,-8.17
Mozambique,2012-12,15,0,0.0,0.1171,1.00e+00,0,-12.13
Mozambique,2013-01,14,0,0.0,0.1139,1.00e+00,0,-2.09
Mozambique,2013-02,12,0,0.0,0.1133,1.00e+00,0,-0.83
Mozambique,2013-03,19,1,0.053,0.1123,8.96e-01,0,-1.45
Mozambique,2013-04,15,4,0.267,0.1096,7.35e-02,0,-2.56
Mozambique,2013-05,15,4,0.267,0.1096,7.35e-02,0,-2.56
Mozambique,2013-06,11,9,0.818,0.1094,1.00e-07,1,1.1
Mozambique,2013-07,20,10,0.5,0.1157,2.62e-05,1,1.58
Mozambique,2013-08,29,10,0.345,0.1157,1.06e-03,0,-0.16
Mozambique,2013-09,27,4,0.148,0.1291,4.68e-01,0,-1.29
Mozambique,2013-10,25,1,0.04,0.1345,9.73e-01,0,-3.36
Mozambique,2013-11,29,4,0.138,0.1316,5.42e-01,0,-1.06
Mozambique,2013-12,26,4,0.154,0.1303,4.45e-01,0,-1.25
Mozambique,2014-01,23,7,0.304,0.129,2.22e-02,0,4.96
Mozambique,2014-02,22,11,0.5,0.132,3.65e-05,1,5.18
Mozambique,2014-03,31,12,0.387,0.1317,3.34e-04,1,3.13
Mozambique,2014-04,30,8,0.267,0.1379,4.59e-02,0,-0.15
Mozambique,2014-05,32,2,0.062,0.1493,9.62e-01,0,-1.63
Mozambique,2014-06,39,7,0.179,0.1482,3.55e-01,0,-1.54
Mozambique,2014-07,41,10,0.244,0.1458,6.63e-02,0,-2.24
Mozambique,2014-08,36,9,0.25,0.1437,6.43e-02,0,-3.32
Mozambique,2014-09,25,4,0.16,0.1506,5.32e-01,0,-3.3
Mozambique,2014-10,50,16,0.32,0.1534,2.47e-03,0,-1.07
Mozambique,2014-11,47,21,0.447,0.1508,1.26e-06,1,2.18
Mozambique,2014-12,44,20,0.455,0.151,1.64e-06,1,1.69
Mozambique,2015-01,12,5,0.417,0.1678,3.73e-02,0,6.25
Mozambique,2015-03,21,8,0.381,0.1738,1.98e-02,0,1.26
Mozambique,2015-04,24,9,0.375,0.1729,1.49e-02,0,-0.57
Mozambique,2015-05,26,9,0.346,0.172,2.49e-02,0,-0.96
Mozambique,2015-06,24,7,0.292,0.1809,1.28e-01,0,-2.11
Mozambique,2015-07,18,6,0.333,0.1808,9.05e-02,0,-0.31
Mozambique,2015-08,14,6,0.429,0.1793,2.68e-02,0,-0.95
Kenya,2010-02,12,5,0.417,0.0667,7.01e-04,1,0.84
Kenya,2010-03,12,5,0.417,0.0667,7.01e-04,1,0.84
Kenya,2012-03,11,0,0.0,0.1279,1.00e+00,0,0.0
Uganda,2008-07,11,0,0.0,0.0286,1.00e+00,0,0.0
Uganda,2008-08,13,0,0.0,0.0263,1.00e+00,0,0.0
Uganda,2008-09,12,0,0.0,0.0244,1.00e+00,0,0.0
Uganda,2008-12,13,0,0.0,0.0189,1.00e+00,0,0.0
Uganda,2009-01,20,0,0.0,0.0185,1.00e+00,0,0.0
Uganda,2009-02,20,0,0.0,0.0172,1.00e+00,0,0.0
Uganda,2009-03,20,0,0.0,0.0152,1.00e+00,0,0.0
Uganda,2009-04,17,0,0.0,0.0135,1.00e+00,0,0.0
Uganda,2009-05,16,0,0.0,0.0128,1.00e+00,0,0.0
Uganda,2009-06,24,0,0.0,0.0116,1.00e+00,0,0.0
Uganda,2009-07,21,0,0.0,0.011,1.00e+00,0,0.0
Uganda,2009-08,27,0,0.0,0.0106,1.00e+00,0,0.0
Uganda,2009-09,18,0,0.0,0.0091,1.00e+00,0,0.0
Uganda,2009-10,30,0,0.0,0.0089,1.00e+00,0,0.0
Uganda,2009-11,37,0,0.0,0.0083,1.00e+00,0,-2.53
Uganda,2009-12,44,4,0.091,0.0078,3.94e-04,1,-8.29
Uganda,2010-01,43,6,0.14,0.007,5.95e-07,1,-12.93
Uganda,2010-02,35,6,0.171,0.0063,8.91e-08,1,-14.15
Uganda,2010-03,45,2,0.044,0.0291,3.78e-01,0,-7.84
Uganda,2010-04,45,0,0.0,0.0378,1.00e+00,0,-12.11
Uganda,2010-05,52,2,0.038,0.0363,5.67e-01,0,-12.27
Uganda,2010-06,36,3,0.083,0.0323,1.09e-01,0,-15.21
