date,stress_score,stress_level,type
2022-06-19,0.6239253753408667,MEDIUM,historical
2022-06-26,0.6182144616842716,MEDIUM,historical
2022-07-03,0.6304024102213016,MEDIUM,historical
2022-07-10,0.6416567256273663,MEDIUM,historical
2022-07-17,0.6509503905528202,HIGH,historical
2022-07-24,0.6579049875970665,HIGH,historical
2022-07-31,0.6584439476958439,HIGH,historical
2022-08-07,0.6529546853288077,HIGH,historical
2022-08-14,0.627556513817553,MEDIUM,historical
2022-08-21,0.6072518907271683,MEDIUM,historical
2022-08-28,0.5759187914284906,MEDIUM,historical
2022-09-04,0.5542524305975516,MEDIUM,historical
2022-09-11,0.5647574395784555,MEDIUM,historical
2022-09-18,0.5524945246686972,MEDIUM,historical
2022-09-25,0.5457564766238706,MEDIUM,historical
2022-10-02,0.5398418910699346,MEDIUM,historical
2022-10-09,0.5173942970014704,MEDIUM,historical
2022-10-16,0.5176665074924136,MEDIUM,historical
2022-10-23,0.5136972575921823,MEDIUM,historical
2022-10-30,0.5043295495003377,MEDIUM,historical
2022-11-06,0.5174549204218895,MEDIUM,historical
2022-11-13,0.5195383824658875,MEDIUM,historical
2022-11-20,0.5270604895173087,MEDIUM,historical
2022-11-27,0.537903511837794,MEDIUM,historical
2022-12-04,0.5357137431786638,MEDIUM,historical
2022-12-11,0.5399477431896876,MEDIUM,historical
2022-12-18,0.5490916029006735,MEDIUM,historical
2022-12-25,0.5625356322823275,MEDIUM,historical
2023-01-01,0.547721969516561,MEDIUM,historical
2023-01-08,0.5310208908174042,MEDIUM,historical
2023-01-15,0.5022522244477974,MEDIUM,historical
2023-01-22,0.4645484926326609,MEDIUM,historical
2023-01-29,0.4521756882927172,MEDIUM,historical
2023-02-05,0.4356793174364166,MEDIUM,historical
2023-02-12,0.4216162931558196,MEDIUM,historical
2023-02-19,0.4128125909016927,MEDIUM,historical
2023-02-26,0.4059892287083145,MEDIUM,historical
2023-03-05,0.4175105008535887,MEDIUM,historical
2023-03-12,0.4305672135498334,MEDIUM,historical
2023-03-19,0.4402844495137679,MEDIUM,historical
2023-03-26,0.4475235669657976,MEDIUM,historical
2023-04-02,0.4441232098325721,MEDIUM,historical
2023-04-09,0.4407620381035704,MEDIUM,historical
2023-04-16,0.4383904068242962,MEDIUM,historical
2023-04-23,0.4394722125339473,MEDIUM,historical
2023-04-30,0.4411063376333384,MEDIUM,historical
2023-05-07,0.4426667899175191,MEDIUM,historical
2023-05-14,0.4513885366962906,MEDIUM,historical
2023-05-21,0.4558864381070434,MEDIUM,historical
2023-05-28,0.4627936703975648,MEDIUM,historical
2023-06-04,0.4670214143332681,MEDIUM,historical
2023-06-11,0.4620095722680877,MEDIUM,historical
2023-06-18,0.458290946980837,MEDIUM,historical
2023-06-25,0.4567460821027749,MEDIUM,historical
2023-07-02,0.4404148710145734,MEDIUM,historical
2023-07-09,0.4325141648211897,MEDIUM,historical
2023-07-16,0.4180384777657751,MEDIUM,historical
2023-07-23,0.4017571725376537,MEDIUM,historical
2023-07-30,0.4037508788182263,MEDIUM,historical
2023-08-06,0.4083781453563644,MEDIUM,historical
2023-08-13,0.4142652037814857,MEDIUM,historical
2023-08-20,0.4126475455213148,MEDIUM,historical
2023-08-27,0.4127536393976355,MEDIUM,historical
2023-09-03,0.4011909135476773,MEDIUM,historical
2023-09-10,0.4025382873593137,MEDIUM,historical
2023-09-17,0.4057737686271612,MEDIUM,historical
2023-09-24,0.4097850499137303,MEDIUM,historical
2023-10-01,0.4159596444396926,MEDIUM,historical
2023-10-08,0.414909066676607,MEDIUM,historical
2023-10-15,0.413713260212299,MEDIUM,historical
2023-10-22,0.4013960237544823,MEDIUM,historical
2023-10-29,0.4029910108694548,MEDIUM,historical
2023-11-05,0.4046946294918947,MEDIUM,historical
2023-11-12,0.407028058136294,MEDIUM,historical
2023-11-19,0.4172326153772834,MEDIUM,historical
2023-11-26,0.4097327963568034,MEDIUM,historical
2023-12-03,0.3917194189495478,LOW,historical
2023-12-10,0.381306563225141,LOW,historical
2023-12-17,0.3716414577611027,LOW,historical
2023-12-24,0.3716023794652696,LOW,historical
2023-12-31,0.3941062868735335,LOW,historical
2024-01-07,0.4380401398100751,MEDIUM,historical
2024-01-14,0.473707228394358,MEDIUM,historical
2024-01-21,0.5065050776312863,MEDIUM,historical
2024-01-28,0.5172987913184257,MEDIUM,historical
2024-02-04,0.488922259955214,MEDIUM,historical
2024-02-11,0.4653533458748254,MEDIUM,historical
2024-02-18,0.4430053404938961,MEDIUM,historical
2024-02-25,0.4261207058032735,MEDIUM,historical
